Brest;1;70;278
Arras;2;599;89
Nantes;3;276;420
Paris;4;567;246
Lyon;5;761;582
Strasbourg;6;960;265
Marseille;7;805;850
Montpellier;8;690;819
Bordeaux;9;341;683
Poitiers;10;415;495
